lat,lon,spot_name,closest_water,closest_region,distance_km,country
-32.929368160254,151.79298341274,Flatrock,Tasman Sea,Tasman Sea,0,Australia
32.990962672089,-117.27542638779,Fletchers Cove,North Pacific Ocean,Pacific Ocean,0.51,United States
21.292663228449,-157.86566019058,Flies Incinerators),North Pacific Ocean,Pacific Ocean,0,United States
62.406554630866,5.8526659011841,Flo,Norwegian Sea,Atlantic Ocean,0,Norway
-31.92377372454,115.7546889782,Floreat Groyne,Geographe Bay,Geographe Bay,1.67,Australia
44.01504,-124.13809,Florence,North Pacific Ocean,Pacific Ocean,0,United States
-19.123233666074,146.87868833542,Florence Bay,Coral Sea,Pacific Ocean,0,Australia
44.02466838319,-124.13967132568,Florence North Jetty,North Pacific Ocean,Pacific Ocean,0,United States
44.013064685954,-124.14001464844,Florence South Jetty,North Pacific Ocean,Pacific Ocean,0,United States
48.993847552422,-125.63621520996,Florencia Bay,North Pacific Ocean,Pacific Ocean,0,Canada
48.090240014732,11.545276343822,Flosslande River),Adriatic Sea,Mediterranean Sea,287.14,Germany
-29.72629,31.0889,Flowrider,Indian Ocean,Indian Ocean,1.56,South Africa
-31.923764618415,115.75471043587,Flozza Pipe,Geographe Bay,Geographe Bay,1.67,Australia
39.306874353771,-74.556741714478,Flukies,North Atlantic Ocean,Atlantic Ocean,0,United States
-38.39602968412,142.48984336853,Flume,Great Australian Bight,Great Australian Bight,0.44,Australia
-31.442394325199,152.92743444443,Flynns Beach,Tasman Sea,Tasman Sea,1.17,Australia
-38.496593518948,145.14656066895,Flynns Reef,Bass Strait,Bass Strait,0,Australia
39.803261109669,9.6723461151123,Foddini,Tyrrhenian Sea,Mediterranean Sea,0,Italy
51.090262019795,1.2049770355225,Folkestone East Cliff Sands,English Channel,Atlantic Ocean,0,United Kingdom
32.65404579429,-79.939012527466,Folly Beach Pier,North Atlantic Ocean,Atlantic Ocean,0,United States
38.57405,-9.19669,Fonte Da Telha,North Atlantic Ocean,Atlantic Ocean,1.71,Portugal
-36.174119072279,174.65643882751,Forestry,South Pacific Ocean,Pacific Ocean,2.15,New Zealand
-28.131840262206,153.49040597677,Forks,Coral Sea,Pacific Ocean,1.43,Australia
38.663396856214,1.5124869346619,Formentera,Mediterranean Sea,Mediterranean Sea,0,Spain
43.713192795481,-7.8531861305237,Fornos,Bay of Biscay,Atlantic Ocean,0,Spain
-38.517817682953,145.30618429184,Forrest Caves,Bass Strait,Bass Strait,0,Australia
17.617735914831,-63.25545787811,Fort Bay,Caribbean Sea,Caribbean Sea,0,Netherlands
46.275739195219,-124.0446138382,Fort Canby-a Jetty,Columbia River,Columbia River,0,United States
37.830870026796,-122.53970146179,Fort Cronkite(Rodeo Beach),North Pacific Ocean,Pacific Ocean,0,United States
49.718763749043,-1.9006776809692,Fort De Saint Germain Des Vaux,English Channel,Atlantic Ocean,0,France
48.224509146289,-122.77091190219,Fort Ebey,Salish Sea,Salish Sea,0,United States
33.971409808405,-77.915983200073,Fort Fisher,North Atlantic Ocean,Atlantic Ocean,0,United States
5.3881421362201,-0.48882898352322,Fort Good Hope,Gulf of Guinea,Atlantic Ocean,0,Ghana
26.145749566058,-80.101404190063,Fort Lauderdale-14Th Street,Straits of Florida,Straits of Florida,0,United States
27.474503898118,-80.29067158699,Fort Pierce North Jetty,North Atlantic Ocean,Atlantic Ocean,0,United States
37.810665485088,-122.4763584137,Fort Point,San Francisco Bay,San Francisco Bay,0,United States
30.393607183952,-86.600933074951,Fort Walton Pier,Gulf of Mexico,Gulf of Mexico,0,United States
-22.985103460894,-43.185539245605,Forte De Copacabana,South Atlantic Ocean,Atlantic Ocean,0,Brazil
43.95706269889,10.16533613205,Forte Dei Marmi(Pontile),Tyrrhenian Sea,Mediterranean Sea,0,Italy
37.061725842485,-8.0907802283764,Forte Novo,North Atlantic Ocean,Atlantic Ocean,0.13,Portugal
57.426562658712,-152.35311985016,Fossil Beach(Kodiak),Gulf of Alaska,Gulf of Alaska,0,United States
13.097901818043,-59.452037215233,Foul Bay,Caribbean Sea,Caribbean Sea,0,Barbados
29.086720483601,-90.222065448761,Fourchon,Gulf of Mexico,Gulf of Mexico,0,United States
42.963697085804,-70.768083930016,Fox Hill,Gulf of Maine,Gulf of Maine,0,United States
42.426782747326,-8.8747644424438,Foxos,North Atlantic Ocean,Atlantic Ocean,0,Spain
43.5728,-7.2494,Foz,Bay of Biscay,Atlantic Ocean,2.04,Spain
43.562481382798,-7.2031688690186,Foz Area,Bay of Biscay,Atlantic Ocean,2.16,Spain
39.433516,-9.228342,Foz Do Arelho,North Atlantic Ocean,Atlantic Ocean,1.17,Portugal
-26.566918979392,-48.657524585724,Foz Do Itapocu,South Atlantic Ocean,Atlantic Ocean,0,Brazil
38.94222,-9.4155,Foz Do Lizandro,North Atlantic Ocean,Atlantic Ocean,1.91,Portugal
51.639898898446,-5.0686866114848,Frainslake Sands,Bristol Channel,Bristol Channel,0,United Kingdom
37.464571712508,-122.44700431824,Francis Beach,North Pacific Ocean,Pacific Ocean,0.84,United States
44.633573962469,-86.249713897707,Frankfort North Pier,James Bay,James Bay,826.51,United States
42.578713682298,-124.39488887787,Frankport,North Pacific Ocean,Pacific Ocean,0.97,United States
-24.962638640111,153.33944320679,Fraser Island,Coral Sea,Pacific Ocean,0.37,Australia
57.681853106358,-1.9969367980957,Fraserburgh,North Sea,Atlantic Ocean,0.3,United Kingdom
-33.187559315855,151.62282943726,Frazer Park,Tasman Sea,Tasman Sea,0,Australia
12.191972222222,-86.772863888889,Freight Trains,North Pacific Ocean,Pacific Ocean,1.5,Nicaragua
13.058743616498,-59.538087844849,Freights,Caribbean Sea,Caribbean Sea,0,Barbados
43.560086830967,-6.6758680343628,Frejulfe,Bay of Biscay,Atlantic Ocean,3.43,Spain
48.626214725913,-2.1517,Fremur,English Channel,Atlantic Ocean,2.2,France
30.699584086547,-9.8741072416306,French Baldie Slab,North Atlantic Ocean,Atlantic Ocean,0,Morocco
23.946507840326,-74.520392417908,French Bay,North Atlantic Ocean,Atlantic Ocean,0,Bahamas
-33.810389138517,-80.801568031311,French Point,South Pacific Ocean,Pacific Ocean,752.81,Chile
-35.527895531699,138.69812250137,Frenchies,Great Australian Bight,Great Australian Bight,3.61,Australia
-33.101446440651,151.65437221527,Frenchmans Beach,Tasman Sea,Tasman Sea,1.04,Australia
-33.098381616004,151.65984392166,Frenchmans Reef,Tasman Sea,Tasman Sea,0.73,Australia
51.658820160008,-5.0624656677246,Fresh Water West,Bristol Channel,Bristol Channel,0,United Kingdom
-33.777809670681,151.29551410675,Freshwater Beach,Tasman Sea,Tasman Sea,0.67,Australia
51.644814703621,-4.8603773117065,Freshwater East,Bristol Channel,Bristol Channel,0.56,United Kingdom
51.66239,-5.06392,Freshwater West,Bristol Channel,Bristol Channel,0,United Kingdom
-41.992555547788,148.28624038026,Friendly Beaches,Tasman Sea,Tasman Sea,1.44,Australia
35.224885346899,-75.636105537415,Frisco Pier,North Atlantic Ocean,Atlantic Ocean,0,United States
-28.163209620394,153.54986786842,Froggys,Coral Sea,Pacific Ocean,0,Australia
-31.992208079633,115.49617767334,Fruit Bowl,Geographe Bay,Geographe Bay,0,Australia
13.285621769644,-59.649946689606,Fryers Well,Caribbean Sea,Caribbean Sea,0,Barbados
36.532467485978,-4.6228837966919,Fuengirola,Alboran Sea,Mediterranean Sea,0,Spain
25.142970519319,56.357347369194,Fujairah Port,Gulf of Oman,Gulf of Oman,1.34,United Arab Emirates
31.455011836311,131.19323730469,Fukushimaku,Philippine Sea,Pacific Ocean,3,Japan
36.207589493529,-121.74453377724,Fullers,North Pacific Ocean,Pacific Ocean,0,United States
25.021898151422,121.94626808167,Fulong Beach,East China Sea,Pacific Ocean,0,Taiwan
26.753469080464,120.09481430054,Funingwan,East China Sea,Pacific Ocean,0,China
40.87167,-8.67797,Furadouro,North Atlantic Ocean,Atlantic Ocean,0,Portugal
32.969301509186,132.99885749817,Futami,Philippine Sea,Pacific Ocean,1.21,Japan
-3.7266914859784,-38.457008600235,Futuro,South Atlantic Ocean,Atlantic Ocean,0,Brazil
-32.933780576462,151.78319334984,Fuzzies,Tasman Sea,Tasman Sea,0.45,Australia
-8.73272,114.34,G Land,Indian Ocean,Indian Ocean,0,Indonesia
9.7472523834959,126.09892845154,G1,NA,NA,0,Philippines
54.294935181283,-8.9776821434498,Gaa,North Atlantic Ocean,Atlantic Ocean,0,Ireland
13.444387793914,144.64577078819,Gab Gab Beach,Philippine Sea,Pacific Ocean,0,United States
-29.164828478232,-49.58215713501,Gaivota,South Atlantic Ocean,Atlantic Ocean,0.49,Brazil
40.015421634342,-124.04189944267,Gale Point,North Pacific Ocean,Pacific Ocean,0,United States
-27.593481609369,-48.425223827362,Galheta,South Atlantic Ocean,Atlantic Ocean,0,Brazil
18.074674412209,-63.015260696411,Galion,Caribbean Sea,Caribbean Sea,0,France
43.27416,6.58402,Galiote,Mediterranean Sea,Mediterranean Sea,5.16,France
43.480211385093,-3.6756455898285,Galizano,Bay of Biscay,Atlantic Ocean,2.29,Spain
43.480343729488,-3.6798298358917,Galizano Point,Bay of Biscay,Atlantic Ocean,2.17,Spain
-33.804790703511,114.99698638916,Gallows,Indian Ocean,Indian Ocean,1.95,Australia
29.265005330044,-94.826173782349,Galveston,Gulf of Mexico,Gulf of Mexico,0,United States
29.287011809598,-94.791305065155,Galveston Flagship,Gulf of Mexico,Gulf of Mexico,0,United States
29.306122670699,-94.771285057068,Galveston Stewart Beach,Gulf of Mexico,Gulf of Mexico,0,United States
-27.958926822301,-48.624662160873,Gamboa,South Atlantic Ocean,Atlantic Ocean,1.06,Brazil
-35.513539698714,150.40330410004,Gannet Point,Tasman Sea,Tasman Sea,0.65,Australia
-34.580295096474,19.340507984161,Gansbaai Reefs,South Atlantic Ocean,Atlantic Ocean,1.88,South Africa
54.082914049743,-4.7289383411407,Gansey,Irish Sea,Irish Sea,0.77,Isle of Man
32.719628953089,-117.25687623024,Garbage,North Pacific Ocean,Pacific Ocean,0,United States
18.122034030296,-63.019466400146,Garbage Heap,Caribbean Sea,Caribbean Sea,0,France
26.507470708823,-76.973079442978,Garbanzo,North Atlantic Ocean,Atlantic Ocean,0,Bahamas
33.576083997102,-78.997621536255,Garden City Pier,North Atlantic Ocean,Atlantic Ocean,0.44,United States
-32.199728686763,115.67642211914,Garden Island,Geographe Bay,Geographe Bay,0,Australia
64.083287030371,-22.69380569458,Gardur,North Atlantic Ocean,Atlantic Ocean,0,Iceland
-30.071730860441,30.876420736313,Garfield,Indian Ocean,Indian Ocean,0.05,South Africa
-34.174956029212,151.06510162354,Garie Beach,Tasman Sea,Tasman Sea,0.92,Australia
-28.021577432259,-48.619447946548,Garopaba Centro,South Atlantic Ocean,Atlantic Ocean,0.19,Brazil
41.254298789064,1.9050014019012,Garraf,Balearic Sea,Mediterranean Sea,0,Spain
36.421627771206,-121.91897392273,Garrapata,North Pacific Ocean,Pacific Ocean,0,United States
51.641945181127,-8.5775864124298,Garretstown,North Atlantic Ocean,Atlantic Ocean,0,Ireland
41.770671543019,-124.24425601959,Garths Reef,North Pacific Ocean,Pacific Ocean,0,United States
-33.97835,114.98651,Gas Bay,Indian Ocean,Indian Ocean,1.15,Australia
18.460664,-67.165808,Gas Chambers,North Atlantic Ocean,Atlantic Ocean,0.08,United States
-33.608722148857,18.371522426603,Gas Chambers,South Atlantic Ocean,Atlantic Ocean,0.4,South Africa
-38.04045287154,140.62046170235,Gates,Great Australian Bight,Great Australian Bight,0,Australia
-0.66051,73.11003,Gaukendi Bridge,Arabian Sea,Indian Ocean,0,Maldives
47.694836323876,-3.3341497555374,Gavres,Bay of Biscay,Atlantic Ocean,0,France
43.30366,-2.20599,Gaztetape,Bay of Biscay,Atlantic Ocean,2.07,Spain
-32.582402887958,115.64861297607,Gearies,Geographe Bay,Geographe Bay,0,Australia
-5.6872206524828,-35.211009979248,Genipabu,South Atlantic Ocean,Atlantic Ocean,0.82,Brazil
40.931922760082,-72.22953915596,Georgica Pond,North Atlantic Ocean,Atlantic Ocean,0,United States
-22.779070010382,-41.910524368286,Geriba,South Atlantic Ocean,Atlantic Ocean,0,Brazil
-34.035804030765,22.758350372314,Gerickes Back Reef,Indian Ocean,Indian Ocean,0,South Africa
-34.036061865238,22.764272689819,Gerickes Point(Left),Indian Ocean,Indian Ocean,0,South Africa
12.67651591763,124.36935424805,Geron,Philippine Sea,Pacific Ocean,0,Philippines
-34.781099678931,150.7957649231,Gerroa Seven Miles Beach,Tasman Sea,Tasman Sea,1.5,Australia
-29.722942691896,31.067662239075,Geteway Wavehouse,Indian Ocean,Indian Ocean,3.6,South Africa
43.35559,-3.01849,Getxo,Bay of Biscay,Atlantic Ocean,2.81,Spain
36.56187616645,-121.95154666901,Ghost Tree,North Pacific Ocean,Pacific Ocean,0,United States
21.14985,-76.13057,Gibara,North Atlantic Ocean,Atlantic Ocean,1.22,Cuba
13.231823794133,-59.643193180344,Gibbs,Caribbean Sea,Caribbean Sea,0.17,Barbados
40.616819207371,-73.397426605225,Gilgo,North Atlantic Ocean,Atlantic Ocean,0,United States
-8.3697005436682,116.07604980469,Gili Air,Bali Sea,Bali Sea,0,Indonesia
-8.3601260856605,116.04386329651,Gili Trawangan,Bali Sea,Bali Sea,0,Indonesia
56.12459,12.3155,Gilleleje Havn,Kattegat,Kattegat,0,Denmark
56.127641602766,12.313184738159,Gilleleje Ost Mole,Kattegat,Kattegat,0,Denmark
21.888461,-159.415097,Gillins,North Pacific Ocean,Pacific Ocean,0,United States
33.950179708071,-118.44884455204,Gillis,North Pacific Ocean,Pacific Ocean,0.75,United States
-38.673206112221,178.00035953522,Gizzy Pipe,South Pacific Ocean,Pacific Ocean,4.49,New Zealand
-33.947000187426,18.37638258934,Glen Beach,South Atlantic Ocean,Atlantic Ocean,1.76,South Africa
-32.880704433245,28.091826438904,Glen Eden Point,Indian Ocean,Indian Ocean,0,South Africa
-34.158209328066,18.43573987484,Glencairn Reef,South Atlantic Ocean,Atlantic Ocean,2.68,South Africa
-34.980673862697,138.50919306278,Glenelg,Gulf St Vincent,Gulf St Vincent,0.15,Australia
35.961334537367,120.24742126465,Gloden Beach,Yellow Sea,Yellow Sea,0.42,China
39.592097489469,19.805495738983,Glyfada Corfu,Ionian Sea,Mediterranean Sea,0.27,Greece
-33.993117182711,114.98861789703,Gnarabup,Indian Ocean,Indian Ocean,1.36,Australia
-23.76673,113.53999,Gnaraloo,Indian Ocean,Indian Ocean,0.26,Australia
-2.6149536086584,150.73924541473,Go Gos,Bismarck Sea,Bismarck Sea,0,Papua New Guinea
-36.26966227893,174.79271650314,Goat Island Reef,South Pacific Ocean,Pacific Ocean,0,New Zealand
47.190820689122,-2.1605622768403,Gohaud,Bay of Biscay,Atlantic Ocean,0.97,France
14.54635,74.3133,Gokarna,Arabian Sea,Indian Ocean,0,India
42.4179,-124.42831,Gold Beach,North Pacific Ocean,Pacific Ocean,0,United States
42.41847872361,-124.43000435829,Gold Beach South Jetty,North Pacific Ocean,Pacific Ocean,0,United States
41.384279176845,-124.07169342041,Gold Bluffs Beach,North Pacific Ocean,Pacific Ocean,0,United States
35.934096616199,14.342608451843,Golden Bay,Mediterranean Sea,Mediterranean Sea,0,Malta
40.727681555714,24.759922027588,"Golden Beach,Thassos",Aegean Sea,Mediterranean Sea,1.08,Greece
34.415235444339,-119.83610685917,Goleta Rock,North Pacific Ocean,Pacific Ocean,0.55,United States
-35.34583,150.47561,Golf Course Reef,Tasman Sea,Tasman Sea,1.96,Australia
31.869675013679,131.45733833315,Golf Parc,Philippine Sea,Pacific Ocean,0.48,Japan
0.32392329273694,9.3112564086914,Gombe,Gulf of Guinea,Atlantic Ocean,0,Gabon
23.825688710099,121.58553779125,Gongs,Philippine Sea,Pacific Ocean,0,Taiwan
-32.935576997155,28.036336898804,Gonubie Lefts,Indian Ocean,Indian Ocean,0,South Africa
-32.940835482579,28.03670167923,Gonubie Point,Indian Ocean,Indian Ocean,0,South Africa
42.61995468267,-70.631511211395,Good Harbor Beach,Massachusetts Bay,Massachusetts Bay,0,United States
57.37403,-135.76582,Good Rats,NA,NA,0,United States
-35.523494746335,138.77277374268,Goolwa,Great Australian Bight,Great Australian Bight,1.63,Australia
-35.557986744264,138.87799143791,Goolwa Rivermouth,Great Australian Bight,Great Australian Bight,0,Australia
-34.16718007865,18.855242729187,"Gordons Bay,Bikini Beach",South Atlantic Ocean,Atlantic Ocean,3.04,South Africa
33.653137366121,135.95924377441,Goro Goro,Philippine Sea,Pacific Ocean,1.8,Japan
0.48819904857614,122.99209356308,Gorontalo Beach,Gulf of Tomini,Gulf of Tomini,0,Indonesia
48.248225957559,-4.5543479919434,Goulien,Bay of Biscay,Atlantic Ocean,0,France
-34.348485254135,21.885237693787,Gouritsmouth,Indian Ocean,Indian Ocean,0,South Africa
-41.872980199581,148.31345558167,Governors Island,Tasman Sea,Tasman Sea,0,Australia
36.06136360991,14.283363819122,Gozo Ramla Bay,Mediterranean Sea,Mediterranean Sea,0,Malta
-8.7342863265753,114.33973789215,Grajagan,Indian Ocean,Indian Ocean,0,Indonesia
29.292350111436,-81.038675308228,Granada,North Atlantic Ocean,Atlantic Ocean,1.51,United States
-4.3679780953904,55.842819213867,Grand Anse,Indian Ocean,Indian Ocean,0,Seychelles
43.313437945427,-81.759223937988,Grand Bend,Saint Lawrence River,Saint Lawrence River,594.21,Canada
40.585408380209,-73.684272766113,Grand Blvd,North Atlantic Ocean,Atlantic Ocean,0,United States
44.797550809744,-1.234245300293,Grand Crohot,Bay of Biscay,Atlantic Ocean,0,France
4.9155762563431,-6.1477088928223,Grand Drewin,Gulf of Guinea,Atlantic Ocean,0,Côte d’Ivoire
29.217803877981,-89.996223449707,Grand Isle,Gulf of Mexico,Gulf of Mexico,0,United States
17.890366691842,-62.80928850174,Grand Mere,Caribbean Sea,Caribbean Sea,0,France
14.871298600394,-61.186423301697,Grand Riviere Slab,Caribbean Sea,Caribbean Sea,0,France
-20.507123741361,57.449355125427,Grand Sancho,Indian Ocean,Indian Ocean,0.1,Mauritius
45.672146147829,-1.1553990840912,Grande Cote-Saint Palais,Bay of Biscay,Atlantic Ocean,0,France
20.789016913875,-156.55697822571,Grandmas,North Pacific Ocean,Pacific Ocean,0,United States
33.076133718559,-117.31191515923,Grandview,North Pacific Ocean,Pacific Ocean,0,United States
-32.878783460482,134.08216953277,Granites,Great Australian Bight,Great Australian Bight,0,Australia
-38.394818838403,142.49550819397,Grannys,Great Australian Bight,Great Australian Bight,0.79,Australia
-30.791986047123,152.99766540527,Grassy Head,Tasman Sea,Tasman Sea,3.38,Australia
21.710446648721,-157.98505067825,Graters,North Pacific Ocean,Pacific Ocean,0,United States
-26.844749540286,-48.616046905518,Gravata,South Atlantic Ocean,Atlantic Ocean,0,Brazil
-26.831883200137,-48.621969223022,Gravata 1 e 2),South Atlantic Ocean,Atlantic Ocean,0,Brazil
28.74798864607,-13.87223482132,Gravejard,North Atlantic Ocean,Atlantic Ocean,0,Spain
37.565330715362,-122.51536846161,Gray Whale Cove,North Pacific Ocean,Pacific Ocean,0,United States
39.303759113029,-74.538320302963,Great Egg Harbor Inlet(Longport),North Atlantic Ocean,Atlantic Ocean,0,United States
37.753615462063,21.302661895752,Great Palouki,Ionian Sea,Mediterranean Sea,0.51,Greece
50.415881041286,-5.0767135620128,Great Western,Bristol Channel,Bristol Channel,0.64,United Kingdom
-8.8514890368951,115.17011761665,Green Ball,Bali Sea,Bali Sea,0,Indonesia
-8.84876,115.17064,Green Bowls,Bali Sea,Bali Sea,0,Indonesia
-2.8202,100.05898333333,Green Bush,Indian Ocean,Indian Ocean,0.03,Indonesia
-35.27237,150.51537,Green Island,Tasman Sea,Tasman Sea,1.84,Australia
-39.501325418569,173.89863967896,Green Meadows,Tasman Sea,Tasman Sea,0,New Zealand
-30.247213874747,30.783358812332,Green Point,Indian Ocean,Indian Ocean,0,South Africa
-40.912837600742,144.6555903554,Green Point,Great Australian Bight,Great Australian Bight,0,Australia
-34.040027082904,151.16864562035,Greenhills,Tasman Sea,Tasman Sea,3.07,Australia
-34.414982087074,135.36211967468,Greenly Beach,Great Australian Bight,Great Australian Bight,0,Australia
